STATION,BUSYNESS,Station.Latitude,Station.Longitude
Ditmas AVE,7035.308333,40.636119,-73.978172
Dyckman ST,10029.7,40.860531,-73.925536
Dyckman ST-200 ST,5936.263889,40.865491,-73.927271
Eastchester-Dyre AVE,8135.652778,40.8883,-73.830834
East 143 ST-ST Mary's ST,1630.369444,40.808719,-73.907657
East 149 ST,7741.666667,40.812118,-73.904098
Parkchester-East 177 ST,29617.95556,40.833226,-73.860816
East 180 ST,11161.00278,40.841894,-73.873488
Tremont AVE,13049.46667,40.85041,-73.905227
East 105 ST,6245.025,40.650573,-73.899485
East Broadway,20016.33889,40.713715,-73.990173
Eastern Parkway-Brooklyn Museum,9059.583333,40.671987,-73.964375
Elder AVE,11335.41667,40.828584,-73.879159
Elderts Lane-75 ST,5750.158333,40.691324,-73.867139
Elmhurst AVE,15662.69444,40.742454,-73.882017
Essex ST,13208.30556,40.718315,-73.987437
Euclid AVE,12278.16667,40.675377,-73.872106
Park Place,23819.09722,40.713051,-74.008811
Rockaway AVE,5550.091667,40.67834,-73.911946
DeKalb AVE,29925.025,40.690635,-73.981824
Flushing AVE,14900.88056,40.70026,-73.941126
25 ST,29496.10556,40.660397,-73.998091
Forest AVE,5737.744444,40.704423,-73.903077
Forest Hills-71st AVE,34212.08333,40.721691,-73.844521
Ocean Parkway,5388.391667,40.576312,-73.968501
Franklin AVE,33023.13611,40.670682,-73.958131
Franklin ST,7468.111111,40.719318,-74.006886
Freeman ST,7242.766667,40.829993,-73.891865
Fresh Po Rd,6682.222222,40.706186,-73.895877
Fort Hamilton Parkway,21223.96389,40.650782,-73.975776
Fulton ST,83369.42778,40.709416,-74.006571
Gates AVE,7582.836111,40.68963,-73.92227
Graham AVE,14498.45,40.714565,-73.944053
Gra Army Plaza,10772.80278,40.675235,-73.971046
25 ST,22445.54722,40.660397,-73.998091
25 ST,51678.18056,40.660397,-73.998091
30 AVE-Gra AVE,24095.65833,40.766779,-73.921479
Grant AVE,10395.08611,40.677044,-73.86505
Greenpoint AVE,11755.23611,40.731352,-73.954449
111 ST,3677.725,40.697418,-73.836345
25 ST,27405.65,40.660397,-73.998091
Gun Hill Rd,19483.49444,40.869526,-73.846384
Halsey ST,17779.28333,40.68637,-73.916559
25 ST,11557.92778,40.660397,-73.998091
Hewes ST,3912.975,40.70687,-73.953431
High ST,14434.91667,40.699337,-73.990531
Houston ST,21738.11944,40.728251,-74.005367
Sutphin Blvd-Archer AVE - JFK,4997.119444,40.700486,-73.807969
Hoyt ST,11414.20833,40.690545,-73.985065
Hoyt ST,18880.13611,40.690545,-73.985065
Hoyt ST,16190.41111,40.690545,-73.985065
80 ST-Hudson ST,6479.355556,40.679371,-73.858992
Bay Ridge AVE,8781.988889,40.634967,-74.023377
Hunts Point AVE,15023.01667,40.820948,-73.890549
163 ST - Amsteam AVE,5670.994444,40.836013,-73.939892
1nwood - 207 ST,13011.64722,40.868072,-73.919899
Jackson AVE,5562.638889,40.81649,-73.907807
World Trade Center,66004.98333,40.712582,-74.009781
Jamaica-179 ST,28612.45278,40.712646,-73.783817
Jamaica-Van Wyck,8856.225,40.702566,-73.816859
Jay ST - Borough Hall,54489.75833,40.692338,-73.987342
Jefferson ST,7823.463889,40.706607,-73.922913
Sutphin Blvd-Archer AVE - JFK,4170.552778,40.700486,-73.807969
Jamaica-Van Wyck,12148.91389,40.702566,-73.816859
Times Square,33079.75833,40.755983,-73.986229
Junction Blvd,35824.48889,40.749145,-73.869527
Junius ST,2762.586111,40.663515,-73.902447
Kings Highway,45436.70833,40.60867,-73.957734
Kingsbridge Rd,26003.71389,40.866978,-73.893509
Kingston AVE,8062.586111,40.669399,-73.942161
Kingston-Throop,9726.305556,40.679921,-73.940858
Knickerbocker AVE,6239.606061,40.698664,-73.919711
25 ST,6636.375,40.660397,-73.998091
25 ST,11533.17222,40.660397,-73.998091
Lafayette AVE,7094.441667,40.686113,-73.973946
Lefferts Blvd,11667.24167,40.685951,-73.825798
Lexington AVE,49276.57222,40.764627,-73.96611
Lexington AVE-53 ST,73211.35833,40.757552,-73.969055
25 ST,448.2,40.660397,-73.998091
Liberty AVE,3957.194444,40.674542,-73.896548
Livonia AVE,4934.777778,40.664038,-73.900571
Longwood AVE,5794.638889,40.816104,-73.896435
Lorimer ST,14335.15833,40.703869,-73.947408
Flushing-Main ST,101211.9417,40.7596,-73.83003
Marble Hill-225 ST,6196.461111,40.874561,-73.909831
Marcy AVE,16576.175,40.708359,-73.957757
Metropolitan AVE,20011.525,40.712792,-73.951418
Mets - Willets Point,10821.31667,40.754622,-73.845625
Middletown Rd,1999.4,40.843863,-73.836322
Montrose AVE,10456.15,40.707739,-73.93985
Morgan AVE,9201.847222,40.706152,-73.933147
Morris Park,3561.775,40.854364,-73.860495
Morrison AVE-Souview AVE,11092.72778,40.829521,-73.874516
Mosholu Parkway,10802.24722,40.87975,-73.884655
Mt Eden AVE,8966.369444,40.844434,-73.914685
25 ST,6735.363889,40.660397,-73.998091
Myrtle AVE,45914.93333,40.697207,-73.935657
Myrtle AVE,6839.641667,40.697207,-73.935657
Broadway-Nassau,11827.33889,40.710197,-74.007691
Neck Rd,4366.380556,40.595246,-73.955161
DeKalb AVE,1975.786111,40.690635,-73.981824
DeKalb AVE,4596.136111,40.690635,-73.981824
Nevins ST,19131.61667,40.688246,-73.980492
New Lots AVE,17939.96389,40.658733,-73.899232
New Utrecht AVE,9044.383333,40.624842,-73.996353
