STATION,NET_ENTRIES,NET_EXITS,BUSYNESS
DYCKMAN-200 ST,6204.0,135.0,6339.0
DYRE AVE,4872.0,4718.0,9590.0
E 143 ST,834.0,912.0,1746.0
E 149 ST,4310.0,3901.0,8211.0
E 177 ST-PARKCH,14783.0,15656.0,30439.0
E 180 ST,6859.0,6140.0,12999.0
E TREMONT AVE,7136.0,5843.0,12979.0
EAST 105 ST,3740.0,3363.0,7103.0
EAST BROADWAY,12886.0,9868.0,22754.0
EASTERN PKWY,4678.0,4768.0,9446.0
ELDER AVE,6048.0,6324.0,12372.0
ELDERTS LANE,3405.0,2619.0,6024.0
ELMHURST AVE,13102.0,4044.0,17146.0
ESSEX ST,8627.0,5439.0,14066.0
EUCLID AVE,9413.0,2913.0,12326.0
EXCHANGE PLACE,62513.0,152867.0,215380.0
FAR ROCKAWAY,4323.0,4687.0,9010.0
FLATBUSH AVE,19964.0,11635.0,31599.0
FLUSHING AVE,11058.0,5383.0,16441.0
FORDHAM ROAD,23459.0,8633.0,32092.0
FOREST AVE,3986.0,2811.0,6797.0
FOREST HILLS-71,27791.0,11251.0,39042.0
FOREST PARKWAY,3624.0,2562.0,6186.0
FRANKLIN AVE,18991.0,15588.0,34579.0
FRANKLIN ST,5919.0,3276.0,9195.0
FREEMAN ST,4070.0,3375.0,7445.0
FRESH POND ROAD,4921.0,2643.0,7564.0
FT HAMILTON PKY,15144.0,7486.0,22630.0
FULTON ST,54501.0,49654.0,104155.0
GATES AVE,5491.0,2443.0,7934.0
GRAHAM AVE,10107.0,6650.0,16757.0
GRAND ARMY PLAZ,7294.0,3768.0,11062.0
GRAND AV-NEWTON,17259.0,6551.0,23810.0
GRAND ST,29396.0,24666.0,54062.0
GRAND-30 AVE,14526.0,12179.0,26705.0
GRANT AVE,5966.0,5537.0,11503.0
GREENPOINT AVE,8505.0,5707.0,14212.0
GREENWOOD-111,2545.0,1683.0,4228.0
GROVE STREET,16337.0,16937.0,33274.0
GUN HILL ROAD,12364.0,8607.0,20971.0
HALSEY ST,12657.0,6901.0,19558.0
HARRISON,7031.0,7034.0,14065.0
HEWES ST,2720.0,1367.0,4087.0
HIGH ST,7191.0,7606.0,14797.0
HOUSTON ST,16583.0,11796.0,28379.0
HOWARD BCH-JFK,2170.0,702.0,2872.0
HOYT ST,6643.0,6157.0,12800.0
HOYT ST-ASTORIA,11636.0,8923.0,20559.0
HOYT/SCHERMER,9539.0,8713.0,18252.0
HUDSON-80 ST,4241.0,3243.0,7484.0
HUNTERS PT AVE,6629.0,5497.0,12126.0
HUNTS POINT AVE,10002.0,6855.0,16857.0
INTERVALE-163,2966.0,3059.0,6025.0
INWOOD-207 ST,8425.0,4771.0,13196.0
JACKSON AVE,4228.0,903.0,5131.0
JAMAICA CENTER,39807.0,35325.0,75132.0
JAMAICA-179 ST,22910.0,10631.0,33541.0
JAMAICA-VAN WYC,4858.0,4953.0,9811.0
JAY ST-METROTEC,38433.0,23700.0,62133.0
JEFFERSON ST,6601.0,2103.0,8704.0
JFK HOWARD BCH,2344.0,2657.0,5001.0
JFK JAMAICA CT1,6948.0,6982.0,13930.0
JOURNAL SQUARE,20103.0,13155.0,33258.0
JUNCTION BLVD,20113.0,18013.0,38126.0
JUNIUS ST,2060.0,867.0,2927.0
KINGS HIGHWAY,25717.0,23457.0,49174.0
KINGSBRIDGE RD,16323.0,11135.0,27458.0
KINGSTON AVE,4564.0,4292.0,8856.0
KINGSTON-THROOP,5565.0,4898.0,10463.0
KNICKERBOCKER,4018.0,3998.0,8016.0
KOSCIUSZKO ST,4508.0,2569.0,7077.0
LACKAWANNA,7046.0,8542.0,15588.0
LAFAYETTE AVE,4406.0,2512.0,6918.0
LEFFERTS BLVD,7211.0,6075.0,13286.0
LEXINGTON AVE,30889.0,26764.0,57653.0
LEXINGTON-53 ST,48271.0,48679.0,96950.0
LIBERTY AVE,2651.0,1881.0,4532.0
LIVONIA AVE,2654.0,2409.0,5063.0
LONGWOOD AVE,3361.0,2932.0,6293.0
LORIMER ST,10176.0,4688.0,14864.0
MAIN ST,61146.0,58474.0,119620.0
MARBLE HILL-225,4955.0,1559.0,6514.0
MARCY AVE,11401.0,7890.0,19291.0
METROPOLITAN AV,11762.0,8248.0,20010.0
METS-WILLETS PT,2990.0,3035.0,6025.0
MIDDLETOWN ROAD,1989.0,565.0,2554.0
MONTROSE AVE,6186.0,4914.0,11100.0
MORGAN AVE,6863.0,2842.0,9705.0
MORRIS PARK,2071.0,2034.0,4105.0
MORRISON AVE,6362.0,5900.0,12262.0
MOSHOLU PARKWAY,8936.0,3208.0,12144.0
MT EDEN AVE,5686.0,4385.0,10071.0
MURRAY ST-B'WAY,6574.0,3500.0,10074.0
MYRTLE AVE,27995.0,21484.0,49479.0
MYRTLE-WILLOUGH,4729.0,2849.0,7578.0
NASSAU AV,8610.0,5021.0,13631.0
NECK ROAD,4064.0,1159.0,5223.0
NEPTUNE AVE,1529.0,459.0,1988.0
NEREID AVE,3504.0,1390.0,4894.0
NEVINS ST,10606.0,10073.0,20679.0
NEW LOTS AVE,10729.0,8864.0,19593.0
NEW UTRECHT AVE,4857.0,4730.0,9587.0
NEWARK BM BW,15393.0,716.0,16109.0
NEWARK C,5712.0,144.0,5856.0
NEWARK HM HE,134.0,16296.0,16430.0
NEWARK HW BMEBE,5553.0,2908.0,8461.0
NEWKIRK AVE,18356.0,14658.0,33014.0
NORTHERN BLVD,6990.0,5777.0,12767.0
NORWOOD AVE,3139.0,3141.0,6280.0
NORWOOD-205 ST,7611.0,6365.0,13976.0
NOSTRAND AVE,20110.0,17831.0,37941.0
OCEAN PARKWAY,2846.0,1982.0,4828.0
